Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,Age group
50,8/24/2023,CUST050,Female,27,Beauty,3,25,75,25-34
51,10/2/2023,CUST051,Male,27,Beauty,3,25,75,25-34
52,3/5/2023,CUST052,Female,36,Beauty,1,300,300,35-44
53,7/13/2023,CUST053,Male,34,Electronics,2,50,100,25-34
54,2/10/2023,CUST054,Female,38,Electronics,3,500,1500,35-44
55,10/10/2023,CUST055,Male,31,Beauty,4,30,120,25-34
56,5/31/2023,CUST056,Female,26,Clothing,3,300,900,25-34
57,11/18/2023,CUST057,Female,63,Beauty,1,30,30,55+
58,11/13/2023,CUST058,Male,18,Clothing,4,300,1200,18-24
59,7/5/2023,CUST059,Male,62,Clothing,1,50,50,55+
60,10/23/2023,CUST060,Male,30,Beauty,3,50,150,25-34
61,4/9/2023,CUST061,Male,21,Beauty,4,50,200,18-24
62,12/27/2023,CUST062,Male,18,Beauty,2,50,100,18-24
63,2/5/2023,CUST063,Male,57,Electronics,2,25,50,55+
64,1/24/2023,CUST064,Male,49,Clothing,4,25,100,45-54
65,12/5/2023,CUST065,Male,51,Electronics,4,500,2000,45-54
66,4/27/2023,CUST066,Female,45,Electronics,1,30,30,45-54
67,5/29/2023,CUST067,Female,48,Beauty,4,300,1200,45-54
68,2/10/2023,CUST068,Male,25,Electronics,1,300,300,25-34
69,4/30/2023,CUST069,Female,56,Beauty,3,25,75,55+
70,2/21/2023,CUST070,Female,43,Clothing,1,300,300,35-44
71,7/14/2023,CUST071,Female,51,Beauty,4,25,100,45-54
72,5/23/2023,CUST072,Female,20,Electronics,4,500,2000,18-24
73,8/21/2023,CUST073,Male,29,Electronics,3,30,90,25-34
74,11/22/2023,CUST074,Female,18,Beauty,4,500,2000,18-24
75,7/6/2023,CUST075,Male,61,Beauty,4,50,200,55+
76,3/25/2023,CUST076,Female,22,Electronics,2,50,100,18-24
77,7/9/2023,CUST077,Female,47,Clothing,2,50,100,45-54
78,7/1/2023,CUST078,Female,47,Clothing,3,500,1500,45-54
79,4/18/2023,CUST079,Male,34,Beauty,1,300,300,25-34
80,12/10/2023,CUST080,Female,64,Clothing,2,30,60,55+
81,5/17/2023,CUST081,Male,40,Electronics,1,50,50,35-44
82,12/26/2023,CUST082,Female,32,Beauty,4,50,200,25-34
83,12/16/2023,CUST083,Male,54,Electronics,2,50,100,45-54
84,11/28/2023,CUST084,Female,38,Electronics,3,30,90,35-44
85,2/6/2023,CUST085,Male,31,Clothing,3,50,150,25-34
86,11/8/2023,CUST086,Male,19,Beauty,3,30,90,18-24
87,11/22/2023,CUST087,Female,28,Beauty,2,50,100,25-34
88,3/29/2023,CUST088,Male,56,Clothing,1,500,500,55+
89,10/1/2023,CUST089,Female,55,Electronics,4,500,2000,55+
90,5/6/2023,CUST090,Female,51,Electronics,1,30,30,45-54
91,3/25/2023,CUST091,Female,55,Electronics,1,500,500,55+
92,8/25/2023,CUST092,Female,51,Electronics,4,30,120,45-54
93,7/14/2023,CUST093,Female,35,Beauty,4,500,2000,35-44
94,5/19/2023,CUST094,Female,47,Beauty,2,500,1000,45-54
95,11/24/2023,CUST095,Female,32,Clothing,2,30,60,25-34
96,12/19/2023,CUST096,Female,44,Clothing,2,300,600,35-44
97,10/13/2023,CUST097,Female,51,Beauty,2,500,1000,45-54
98,4/23/2023,CUST098,Female,55,Beauty,2,50,100,55+
99,12/17/2023,CUST099,Female,50,Electronics,4,300,1200,45-54
100,6/16/2023,CUST100,Male,41,Electronics,1,30,30,35-44
101,1/29/2023,CUST101,Male,32,Clothing,2,300,600,25-34
102,4/28/2023,CUST102,Female,47,Beauty,2,25,50,45-54
103,1/17/2023,CUST103,Female,59,Clothing,1,25,25,55+
104,6/11/2023,CUST104,Female,34,Beauty,2,500,1000,25-34
105,7/25/2023,CUST105,Female,22,Electronics,1,500,500,18-24
106,5/18/2023,CUST106,Female,46,Clothing,1,50,50,45-54
107,2/3/2023,CUST107,Female,21,Clothing,4,300,1200,18-24
108,4/19/2023,CUST108,Female,27,Beauty,3,25,75,25-34
109,10/18/2023,CUST109,Female,34,Electronics,4,500,2000,25-34
110,6/11/2023,CUST110,Male,27,Clothing,3,300,900,25-34
111,4/19/2023,CUST111,Female,34,Electronics,3,500,1500,25-34
112,12/2/2023,CUST112,Male,37,Clothing,3,500,1500,35-44
113,9/13/2023,CUST113,Female,41,Electronics,2,25,50,35-44
114,7/22/2023,CUST114,Female,22,Beauty,4,25,100,18-24
115,11/26/2023,CUST115,Male,51,Clothing,3,500,1500,45-54
116,8/23/2023,CUST116,Female,23,Clothing,1,30,30,18-24
117,3/15/2023,CUST117,Male,19,Electronics,2,500,1000,18-24
118,5/16/2023,CUST118,Female,30,Electronics,4,500,2000,25-34
119,3/13/2023,CUST119,Female,60,Clothing,3,50,150,55+
120,5/7/2023,CUST120,Male,60,Beauty,1,50,50,55+
121,10/15/2023,CUST121,Female,28,Electronics,4,50,200,25-34
122,10/3/2023,CUST122,Male,64,Electronics,4,30,120,55+
123,5/15/2023,CUST123,Female,40,Electronics,2,30,60,35-44
124,10/27/2023,CUST124,Male,33,Clothing,4,500,2000,25-34
125,8/8/2023,CUST125,Male,48,Clothing,2,50,100,45-54
126,10/26/2023,CUST126,Female,28,Clothing,3,30,90,25-34
127,7/24/2023,CUST127,Female,33,Clothing,2,25,50,25-34
128,7/5/2023,CUST128,Male,25,Beauty,1,500,500,25-34
129,4/23/2023,CUST129,Female,21,Beauty,2,300,600,18-24
130,3/12/2023,CUST130,Female,57,Clothing,1,500,500,55+
131,9/18/2023,CUST131,Female,21,Beauty,2,300,600,18-24
132,9/10/2023,CUST132,Male,42,Electronics,4,50,200,35-44
133,2/16/2023,CUST133,Male,20,Electronics,3,300,900,18-24
134,1/25/2023,CUST134,Male,49,Electronics,1,50,50,45-54
135,2/26/2023,CUST135,Male,20,Clothing,2,25,50,18-24
136,3/20/2023,CUST136,Male,44,Electronics,2,300,600,35-44
137,11/18/2023,CUST137,Male,46,Beauty,2,500,1000,45-54
138,3/23/2023,CUST138,Male,49,Clothing,4,50,200,45-54
139,12/15/2023,CUST139,Male,36,Beauty,4,500,2000,35-44
140,8/5/2023,CUST140,Male,38,Electronics,1,30,30,35-44
141,11/2/2023,CUST141,Female,22,Electronics,1,50,50,18-24
142,2/2/2023,CUST142,Male,35,Electronics,4,300,1200,35-44
143,7/17/2023,CUST143,Female,45,Clothing,1,50,50,45-54
144,7/15/2023,CUST144,Female,59,Beauty,3,500,1500,55+
145,11/2/2023,CUST145,Female,39,Clothing,3,25,75,35-44
146,8/28/2023,CUST146,Male,38,Clothing,4,50,200,35-44
147,9/28/2023,CUST147,Male,23,Electronics,1,300,300,18-24
148,5/9/2023,CUST148,Male,18,Clothing,2,30,60,18-24
149,10/11/2023,CUST149,Male,22,Clothing,3,25,75,18-24
150,1/6/2023,CUST150,Female,58,Electronics,4,30,120,55+
151,12/15/2023,CUST151,Male,29,Clothing,1,50,50,25-34
152,2/28/2023,CUST152,Male,43,Electronics,4,500,2000,35-44
153,12/16/2023,CUST153,Male,63,Electronics,2,500,1000,55+
154,10/2/2023,CUST154,Male,51,Electronics,3,300,900,45-54
155,5/17/2023,CUST155,Male,31,Electronics,4,500,2000,25-34
156,11/25/2023,CUST156,Female,43,Clothing,4,25,100,35-44
157,6/24/2023,CUST157,Male,62,Electronics,4,500,2000,55+
158,2/27/2023,CUST158,Female,44,Electronics,2,300,600,35-44
159,5/31/2023,CUST159,Male,26,Clothing,4,50,200,25-34
160,8/11/2023,CUST160,Female,43,Clothing,2,50,100,35-44
161,3/22/2023,CUST161,Male,64,Beauty,2,500,1000,55+
162,8/21/2023,CUST162,Male,39,Clothing,2,30,60,35-44
163,1/2/2023,CUST163,Female,64,Clothing,3,50,150,55+
164,5/15/2023,CUST164,Female,47,Beauty,3,500,1500,45-54
165,9/14/2023,CUST165,Female,60,Clothing,4,300,1200,55+
166,4/2/2023,CUST166,Male,34,Clothing,4,500,2000,25-34
167,9/17/2023,CUST167,Female,43,Clothing,3,50,150,35-44
168,2/24/2023,CUST168,Male,53,Clothing,1,300,300,45-54
169,11/17/2023,CUST169,Male,18,Beauty,3,500,1500,18-24
170,6/2/2023,CUST170,Female,25,Clothing,2,25,50,25-34
171,11/24/2023,CUST171,Female,52,Clothing,3,300,900,45-54
172,9/17/2023,CUST172,Male,32,Beauty,2,25,50,25-34
173,11/8/2023,CUST173,Male,64,Electronics,4,30,120,55+
174,4/12/2023,CUST174,Female,39,Beauty,1,300,300,35-44
175,3/20/2023,CUST175,Female,31,Electronics,4,25,100,25-34
176,7/11/2023,CUST176,Female,43,Beauty,2,50,100,35-44
177,3/24/2023,CUST177,Male,45,Beauty,2,50,100,45-54
178,10/4/2023,CUST178,Male,40,Clothing,2,30,60,35-44
179,9/29/2023,CUST179,Male,31,Electronics,1,300,300,25-34
180,1/1/2023,CUST180,Male,41,Clothing,3,300,900,35-44
181,11/3/2023,CUST181,Male,19,Electronics,4,300,1200,18-24
182,6/15/2023,CUST182,Male,62,Beauty,4,30,120,55+
183,9/8/2023,CUST183,Female,43,Beauty,3,300,900,35-44
184,1/10/2023,CUST184,Male,31,Electronics,4,50,200,25-34
185,2/27/2023,CUST185,Male,24,Clothing,1,25,25,18-24
186,7/5/2023,CUST186,Male,20,Clothing,4,50,200,18-24
187,6/7/2023,CUST187,Female,64,Clothing,2,50,100,55+
188,5/3/2023,CUST188,Male,40,Clothing,3,25,75,35-44
189,1/30/2023,CUST189,Male,63,Beauty,1,50,50,55+
190,5/4/2023,CUST190,Female,60,Beauty,3,30,90,55+
191,10/18/2023,CUST191,Male,64,Beauty,1,25,25,55+
192,2/10/2023,CUST192,Male,62,Beauty,2,50,100,55+
193,2/13/2023,CUST193,Male,35,Beauty,3,500,1500,35-44
194,9/6/2023,CUST194,Male,55,Clothing,4,50,200,55+
195,2/5/2023,CUST195,Male,52,Clothing,1,30,30,45-54
196,9/30/2023,CUST196,Female,32,Clothing,3,300,900,25-34
197,3/6/2023,CUST197,Female,42,Clothing,4,50,200,35-44
198,3/7/2023,CUST198,Female,54,Beauty,3,300,900,45-54
199,12/4/2023,CUST199,Male,45,Beauty,3,500,1500,45-54
200,9/1/2023,CUST200,Male,27,Beauty,3,50,150,25-34
201,10/9/2023,CUST201,Male,56,Electronics,1,25,25,55+
202,3/26/2023,CUST202,Female,34,Clothing,4,300,1200,25-34
203,5/16/2023,CUST203,Male,56,Clothing,2,500,1000,55+
204,9/28/2023,CUST204,Male,39,Beauty,1,25,25,35-44
205,11/7/2023,CUST205,Female,43,Clothing,1,25,25,35-44
206,8/5/2023,CUST206,Male,61,Clothing,1,25,25,55+
207,4/19/2023,CUST207,Female,42,Beauty,2,25,50,35-44
208,10/4/2023,CUST208,Female,34,Electronics,4,50,200,25-34
209,12/20/2023,CUST209,Female,30,Electronics,4,50,200,25-34
210,4/13/2023,CUST210,Male,37,Electronics,4,50,200,35-44
211,1/1/2024,CUST211,Male,42,Beauty,3,500,1500,35-44
212,6/9/2023,CUST212,Male,21,Clothing,3,500,1500,18-24
213,7/24/2023,CUST213,Male,27,Beauty,3,500,1500,25-34
214,12/10/2023,CUST214,Male,20,Beauty,2,30,60,18-24
215,11/29/2023,CUST215,Male,58,Clothing,3,500,1500,55+
216,7/11/2023,CUST216,Male,62,Electronics,2,50,100,55+
217,8/13/2023,CUST217,Female,35,Electronics,4,50,200,35-44
218,9/22/2023,CUST218,Male,64,Beauty,3,30,90,55+
219,8/20/2023,CUST219,Female,53,Electronics,3,30,90,45-54
220,3/3/2023,CUST220,Male,64,Beauty,1,500,500,55+
221,5/7/2023,CUST221,Male,39,Beauty,2,300,600,35-44
222,4/26/2023,CUST222,Male,51,Clothing,4,30,120,45-54
223,2/2/2023,CUST223,Female,64,Clothing,1,25,25,55+
224,6/23/2023,CUST224,Female,25,Clothing,1,50,50,25-34
225,1/11/2023,CUST225,Female,57,Beauty,4,25,100,55+
226,10/29/2023,CUST226,Female,61,Clothing,1,50,50,55+
227,10/11/2023,CUST227,Male,36,Electronics,2,50,100,35-44
228,4/28/2023,CUST228,Female,59,Electronics,2,30,60,55+
229,10/29/2023,CUST229,Male,58,Beauty,3,30,90,55+
230,4/23/2023,CUST230,Male,54,Beauty,1,25,25,45-54
231,1/4/2023,CUST231,Female,23,Clothing,3,50,150,18-24
232,2/6/2023,CUST232,Female,43,Beauty,1,25,25,35-44
233,12/29/2023,CUST233,Female,51,Beauty,2,300,600,45-54
234,11/20/2023,CUST234,Female,62,Electronics,2,25,50,55+
235,1/31/2023,CUST235,Female,23,Electronics,2,500,1000,18-24
236,4/28/2023,CUST236,Female,54,Clothing,1,25,25,45-54
237,2/4/2023,CUST237,Female,50,Beauty,2,500,1000,45-54
238,1/17/2023,CUST238,Female,39,Beauty,1,500,500,35-44
239,6/19/2023,CUST239,Male,38,Electronics,3,500,1500,35-44
240,2/6/2023,CUST240,Female,23,Beauty,1,300,300,18-24
241,9/21/2023,CUST241,Female,23,Electronics,3,25,75,18-24
242,5/2/2023,CUST242,Male,21,Clothing,1,25,25,18-24
243,5/23/2023,CUST243,Female,47,Electronics,3,300,900,45-54
244,12/9/2023,CUST244,Male,28,Beauty,2,50,100,25-34
245,9/6/2023,CUST245,Male,47,Clothing,3,30,90,45-54
246,4/20/2023,CUST246,Female,48,Electronics,2,25,50,45-54
247,10/4/2023,CUST247,Male,41,Electronics,2,30,60,35-44
248,3/9/2023,CUST248,Male,26,Clothing,3,300,900,25-34
249,10/20/2023,CUST249,Male,20,Clothing,1,50,50,18-24
250,10/23/2023,CUST250,Male,48,Electronics,1,50,50,45-54
251,8/31/2023,CUST251,Female,57,Beauty,4,50,200,55+
252,5/5/2023,CUST252,Male,54,Electronics,1,300,300,45-54
253,8/31/2023,CUST253,Female,53,Clothing,4,500,2000,45-54
254,7/28/2023,CUST254,Male,41,Electronics,1,500,500,35-44
255,4/8/2023,CUST255,Male,48,Clothing,1,30,30,45-54
256,2/18/2023,CUST256,Male,23,Clothing,2,500,1000,18-24
257,2/19/2023,CUST257,Male,19,Beauty,4,500,2000,18-24
258,12/4/2023,CUST258,Female,37,Clothing,1,50,50,35-44
259,8/9/2023,CUST259,Female,45,Clothing,4,50,200,45-54
260,7/1/2023,CUST260,Male,28,Beauty,2,30,60,25-34
261,8/5/2023,CUST261,Male,21,Clothing,2,25,50,18-24
262,7/30/2023,CUST262,Female,32,Beauty,4,30,120,25-34
263,8/28/2023,CUST263,Male,23,Beauty,2,30,60,18-24
264,1/28/2023,CUST264,Male,47,Clothing,3,300,900,45-54
265,12/11/2023,CUST265,Male,55,Clothing,3,300,900,55+
266,12/1/2023,CUST266,Female,19,Electronics,2,30,60,18-24
267,11/27/2023,CUST267,Female,32,Beauty,3,30,90,25-34
268,2/20/2023,CUST268,Female,28,Electronics,1,30,30,25-34
269,2/1/2023,CUST269,Male,25,Clothing,4,500,2000,25-34
270,7/26/2023,CUST270,Male,43,Electronics,1,300,300,35-44
271,6/23/2023,CUST271,Female,62,Beauty,4,30,120,55+
272,2/25/2023,CUST272,Female,61,Electronics,2,50,100,55+
273,5/8/2023,CUST273,Female,22,Beauty,1,50,50,18-24
274,4/9/2023,CUST274,Female,23,Clothing,2,500,1000,18-24
275,4/8/2023,CUST275,Male,43,Clothing,2,500,1000,35-44
276,10/2/2023,CUST276,Female,21,Beauty,4,25,100,18-24
277,8/18/2023,CUST277,Male,36,Clothing,4,25,100,35-44
278,3/13/2023,CUST278,Female,37,Clothing,4,25,100,35-44
279,8/5/2023,CUST279,Male,50,Clothing,1,500,500,45-54
280,4/4/2023,CUST280,Female,37,Clothing,3,500,1500,35-44
281,5/23/2023,CUST281,Female,29,Beauty,4,500,2000,25-34
282,8/25/2023,CUST282,Female,64,Electronics,4,50,200,55+
283,5/8/2023,CUST283,Female,18,Electronics,1,500,500,18-24
284,2/8/2023,CUST284,Male,43,Clothing,4,50,200,35-44
285,8/15/2023,CUST285,Female,31,Electronics,1,25,25,25-34
286,10/9/2023,CUST286,Male,55,Electronics,2,25,50,55+
287,2/20/2023,CUST287,Male,54,Clothing,4,25,100,45-54
288,1/26/2023,CUST288,Male,28,Clothing,4,30,120,25-34
289,11/30/2023,CUST289,Male,53,Electronics,2,30,60,45-54
290,10/4/2023,CUST290,Female,30,Beauty,2,300,600,25-34
291,1/8/2023,CUST291,Male,60,Clothing,2,300,600,55+
292,2/17/2023,CUST292,Male,20,Beauty,4,300,1200,18-24
293,5/2/2023,CUST293,Male,50,Electronics,3,30,90,45-54
294,3/27/2023,CUST294,Female,23,Clothing,3,30,90,18-24
295,7/28/2023,CUST295,Female,27,Beauty,3,300,900,25-34
296,9/6/2023,CUST296,Female,22,Clothing,4,300,1200,18-24
297,9/4/2023,CUST297,Female,40,Electronics,2,500,1000,35-44
298,4/20/2023,CUST298,Male,27,Beauty,4,300,1200,25-34
299,7/25/2023,CUST299,Male,61,Electronics,2,500,1000,55+
300,1/31/2023,CUST300,Female,19,Electronics,4,50,200,18-24
301,3/26/2023,CUST301,Male,30,Clothing,4,30,120,25-34
302,7/14/2023,CUST302,Male,57,Beauty,2,300,600,55+
303,1/2/2023,CUST303,Male,19,Electronics,3,30,90,18-24
304,7/19/2023,CUST304,Female,37,Electronics,2,30,60,35-44
305,5/16/2023,CUST305,Female,18,Beauty,1,30,30,18-24
306,8/21/2023,CUST306,Male,54,Electronics,1,50,50,45-54
307,5/27/2023,CUST307,Female,26,Electronics,2,25,50,25-34
308,8/5/2023,CUST308,Female,34,Beauty,4,300,1200,25-34
309,12/23/2023,CUST309,Female,26,Beauty,1,25,25,25-34
310,10/12/2023,CUST310,Female,28,Beauty,1,25,25,25-34
311,12/5/2023,CUST311,Female,32,Beauty,4,25,100,25-34
312,9/7/2023,CUST312,Male,41,Clothing,4,30,120,35-44
313,3/21/2023,CUST313,Female,55,Beauty,3,500,1500,55+
314,4/8/2023,CUST314,Male,52,Clothing,4,30,120,45-54
315,6/1/2023,CUST315,Male,47,Clothing,2,30,60,45-54
316,4/22/2023,CUST316,Female,48,Clothing,2,25,50,45-54
317,1/30/2023,CUST317,Male,22,Electronics,3,30,90,18-24
318,10/24/2023,CUST318,Male,61,Clothing,1,25,25,55+
319,10/5/2023,CUST319,Male,31,Clothing,1,500,500,25-34
320,2/1/2023,CUST320,Female,28,Electronics,4,300,1200,25-34
321,6/10/2023,CUST321,Female,26,Electronics,2,25,50,25-34
322,1/30/2023,CUST322,Male,51,Electronics,1,500,500,45-54
323,1/26/2023,CUST323,Female,29,Beauty,3,300,900,25-34
324,10/27/2023,CUST324,Female,52,Electronics,3,50,150,45-54
325,9/2/2023,CUST325,Female,52,Electronics,2,25,50,45-54
326,9/15/2023,CUST326,Female,18,Clothing,3,25,75,18-24
327,9/29/2023,CUST327,Male,57,Electronics,3,50,150,55+
328,3/22/2023,CUST328,Male,39,Beauty,2,50,100,35-44
329,1/30/2023,CUST329,Female,46,Electronics,4,25,100,45-54
330,9/18/2023,CUST330,Female,25,Beauty,4,50,200,25-34
331,2/11/2023,CUST331,Male,28,Electronics,3,30,90,25-34
332,4/6/2023,CUST332,Male,58,Electronics,4,300,1200,55+
333,2/5/2023,CUST333,Female,54,Electronics,4,300,1200,45-54
334,11/1/2023,CUST334,Male,31,Electronics,3,300,900,25-34
335,2/4/2023,CUST335,Female,47,Beauty,4,30,120,45-54
336,12/12/2023,CUST336,Female,52,Beauty,3,50,150,45-54
337,5/1/2023,CUST337,Male,38,Clothing,1,500,500,35-44
338,7/26/2023,CUST338,Male,54,Beauty,2,50,100,45-54
339,3/3/2023,CUST339,Female,22,Electronics,2,25,50,18-24
340,10/19/2023,CUST340,Female,36,Clothing,4,300,1200,35-44
341,5/7/2023,CUST341,Male,31,Clothing,4,50,200,25-34
342,10/24/2023,CUST342,Female,43,Clothing,4,500,2000,35-44
343,11/1/2023,CUST343,Male,21,Electronics,2,25,50,18-24
344,1/21/2023,CUST344,Female,42,Beauty,1,30,30,35-44
345,11/14/2023,CUST345,Male,62,Electronics,1,30,30,55+
346,2/11/2023,CUST346,Male,59,Clothing,2,500,1000,55+
347,8/3/2023,CUST347,Male,42,Electronics,1,25,25,35-44
348,12/3/2023,CUST348,Female,35,Electronics,2,300,600,35-44
349,10/26/2023,CUST349,Female,57,Beauty,1,50,50,55+
350,10/17/2023,CUST350,Male,25,Beauty,3,25,75,25-34
351,9/25/2023,CUST351,Female,56,Clothing,3,30,90,55+
352,6/11/2023,CUST352,Male,57,Electronics,2,500,1000,55+
353,5/14/2023,CUST353,Male,31,Electronics,1,500,500,25-34
354,4/15/2023,CUST354,Female,49,Beauty,4,50,200,45-54
355,12/9/2023,CUST355,Female,55,Electronics,1,500,500,55+
356,6/10/2023,CUST356,Male,50,Electronics,3,500,1500,45-54
357,5/3/2023,CUST357,Female,40,Electronics,3,25,75,35-44
358,5/16/2023,CUST358,Female,32,Beauty,1,300,300,25-34
359,7/22/2023,CUST359,Male,50,Clothing,1,50,50,45-54
360,3/9/2023,CUST360,Male,42,Clothing,4,25,100,35-44
361,12/10/2023,CUST361,Female,34,Electronics,4,300,1200,25-34
362,11/27/2023,CUST362,Male,50,Clothing,1,25,25,45-54
363,6/3/2023,CUST363,Male,64,Beauty,1,25,25,55+
364,8/23/2023,CUST364,Female,19,Beauty,1,500,500,18-24
365,6/11/2023,CUST365,Male,31,Clothing,1,300,300,25-34
366,2/7/2023,CUST366,Male,57,Clothing,2,50,100,55+
367,1/5/2023,CUST367,Female,57,Electronics,1,50,50,55+
368,8/23/2023,CUST368,Female,56,Clothing,4,300,1200,55+
369,11/15/2023,CUST369,Male,23,Electronics,3,500,1500,18-24
370,10/16/2023,CUST370,Male,23,Electronics,2,30,60,18-24
371,2/21/2023,CUST371,Female,20,Beauty,1,25,25,18-24
372,2/7/2023,CUST372,Female,24,Beauty,3,500,1500,18-24
373,10/3/2023,CUST373,Female,25,Beauty,2,300,600,25-34
374,4/20/2023,CUST374,Female,59,Beauty,3,25,75,55+
375,9/17/2023,CUST375,Male,32,Clothing,1,50,50,25-34
376,5/16/2023,CUST376,Female,64,Beauty,1,30,30,55+
377,3/9/2023,CUST377,Female,46,Clothing,4,50,200,45-54
378,6/28/2023,CUST378,Male,50,Beauty,1,300,300,45-54
379,2/5/2023,CUST379,Female,47,Clothing,1,25,25,45-54
380,5/6/2023,CUST380,Male,56,Electronics,2,300,600,55+
381,7/9/2023,CUST381,Female,44,Clothing,4,25,100,35-44
382,5/26/2023,CUST382,Female,53,Clothing,2,500,1000,45-54
383,3/22/2023,CUST383,Female,46,Beauty,3,30,90,45-54
384,8/13/2023,CUST384,Male,55,Clothing,1,500,500,55+
385,10/6/2023,CUST385,Male,50,Electronics,3,500,1500,45-54
386,12/27/2023,CUST386,Female,54,Electronics,2,300,600,45-54
387,6/4/2023,CUST387,Male,44,Beauty,1,30,30,35-44
388,11/10/2023,CUST388,Male,50,Electronics,1,25,25,45-54
389,12/1/2023,CUST389,Male,21,Clothing,2,25,50,18-24
390,9/28/2023,CUST390,Male,39,Electronics,2,50,100,35-44
391,1/5/2023,CUST391,Male,19,Beauty,2,25,50,18-24
392,12/8/2023,CUST392,Male,27,Clothing,2,300,600,25-34
393,10/11/2023,CUST393,Female,22,Beauty,2,500,1000,18-24
394,6/3/2023,CUST394,Female,27,Clothing,1,500,500,25-34
395,12/6/2023,CUST395,Male,50,Electronics,2,500,1000,45-54
396,2/23/2023,CUST396,Female,55,Beauty,1,30,30,55+
397,3/10/2023,CUST397,Female,30,Beauty,1,25,25,25-34
398,5/16/2023,CUST398,Female,48,Clothing,2,300,600,45-54
399,3/1/2023,CUST399,Female,64,Beauty,2,30,60,55+
400,2/24/2023,CUST400,Male,53,Clothing,4,50,200,45-54
401,10/11/2023,CUST401,Female,62,Clothing,1,300,300,55+
402,3/21/2023,CUST402,Female,41,Clothing,2,300,600,35-44
403,5/20/2023,CUST403,Male,32,Clothing,2,300,600,25-34
404,5/25/2023,CUST404,Male,46,Electronics,2,500,1000,45-54
405,11/6/2023,CUST405,Female,25,Clothing,4,300,1200,25-34
406,4/18/2023,CUST406,Female,22,Beauty,4,25,100,18-24
407,6/25/2023,CUST407,Female,46,Electronics,3,300,900,45-54
408,4/15/2023,CUST408,Female,64,Beauty,1,500,500,55+
